fdc_id,description,data_type,publication_date,nutrient_id,nutrient_name,unit_name,amount_per_100g
171477,"Chicken, broilers or fryers, breast, meat only, cooked, roasted",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,74
172421,"Lentils, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1003,Protein,G,9.02
172421,"Lentils, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,0.38
172421,"Lentils, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,20.13
172421,"Lentils, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1008,Energy,KCAL,116
172421,"Lentils, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,7.9
172421,"Lentils, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,2
172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,2019-04-01,1003,Protein,G,17.27
172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,8.72
172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,2.78
172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,2019-04-01,1008,Energy,KCAL,144
172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,2.3
172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,14
173417,"Cheese, cottage, lowfat, 1% milkfat",sr_legacy_food,2019-04-01,1003,Protein,G,12.39
173417,"Cheese, cottage, lowfat, 1% milkfat",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,1.02
173417,"Cheese, cottage, lowfat, 1% milkfat",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,2.72
173417,"Cheese, cottage, lowfat, 1% milkfat",sr_legacy_food,2019-04-01,1008,Energy,KCAL,72
173417,"Cheese, cottage, lowfat, 1% milkfat",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,0
173417,"Cheese, cottage, lowfat, 1% milkfat",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,406
173424,"Egg, whole, cooked, hard-boiled",sr_legacy_food,2019-04-01,1003,Protein,G,12.58
173424,"Egg, whole, cooked, hard-boiled",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,10.61
173424,"Egg, whole, cooked, hard-boiled",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,1.12
173424,"Egg, whole, cooked, hard-boiled",sr_legacy_food,2019-04-01,1008,Energy,KCAL,155
173424,"Egg, whole, cooked, hard-boiled",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,0
173424,"Egg, whole, cooked, hard-boiled",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,124
173735,"Beans, black, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1003,Protein,G,8.86
173735,"Beans, black, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,0.54
173735,"Beans, black, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,23.71
173735,"Beans, black, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1008,Energy,KCAL,132
173735,"Beans, black, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,8.7
173735,"Beans, black, mature seeds, cooked, boiled, without salt",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,1
173904,"Cereals, oats, regular and quick, not fortified, dry",sr_legacy_food,2019-04-01,1003,Protein,G,13.15
173904,"Cereals, oats, regular and quick, not fortified, dry",sr_legacy_food,2019-04-01,1004,Total lipid (fat),G,6.52
173904,"Cereals, oats, regular and quick, not fortified, dry",sr_legacy_food,2019-04-01,1005,"Carbohydrate, by difference",G,67.7
173904,"Cereals, oats, regular and quick, not fortified, dry",sr_legacy_food,2019-04-01,1008,Energy,KCAL,379
173904,"Cereals, oats, regular and quick, not fortified, dry",sr_legacy_food,2019-04-01,1079,"Fiber, total dietary",G,10.1
173904,"Cereals, oats, regular and quick, not fortified, dry",sr_legacy_food,2019-04-01,1093,"Sodium, Na",MG,6
173944,"Bananas, raw",sr_legacy_food,2019-04-01,1003,Protein,G,1.09
